cat;кот
dog;собака
pen;ручка
door;дверь
oak;дуб
tree;дерево
book;книга
tit;синица
peach;персик
apple;яблоко
house;дом
spoon;ложка
game;игра
play;играть
jungle;джунгли
kitten;котенок
puppy;щенок
hamster;хомяк
rat;крыса
ferret;хорек
mouse;мышь
rabbit;кролик
canary;канарейка
goldfish;золотая_рыбка
lizard;ящерица
cow;корова
hedgehog;еж
badger;барсук
mole;крот
raccoon;енот
squirrel;белка
hare;заяц
weasel;ласка
wolverine;росомаха
marten;куница
beaver;бобр
lynx;рысь
fox;лисица
wolf;волк
bear;медведь
deer;олень
moose;лось
wild_boar;кабан
bat;летучая_мышь
frog;лягушка
toad;жаба
whale;кит
shark;акула
dolphin;дельфин
orca;косатка
seal;тюлень
walrus;морж
penguin;пингвин
octopus;осьминог
crab;краб
ray;скат
eel;угорь
salmon;лосось
tuna;тунец
lion;лев
tiger;тигр
panther;пантера
cheetah;гепард
leopard;леопард
jaguar;ягуар
camel;верблюд
elephant;слон
giraffe;жираф
zebra;зебра
monkey;обезьяна
rhino;носорог
hippo;гиппопотам
crocodile;крокодил
alligator;аллигатор
kangaroo;кенгуру
platypus;утконос
snake;змея
sparrow;воробей
pigeon;голубь
crow;ворона
raven;ворон
rook;грач
lark;жаворонок
nightingale;соловей
starling;скворец
swallow;ласточка
owl;сова
eagle;орел
hawk;ястреб
heron;цапля
stork;аист
pheasant;фазан
peacock;павлин
swan;лебедь
ostrich;страус
bee;пчела
wasp;оса
mosquito;комар
fly;муха
dragonfly;стрекоза
butterfly;бабочка
moth;мотылек
caterpillar;гусеница
centipede;многоножка
beetle;жук
ant;муравей
spider;паук
key;ключ
butter;маслы
triangle;триугольник
